source,title,link,published,summary
Ada Derana,Irrigation Dept. warns of major flood risk in Kalu Ganga basin,http://www.adaderana.lk/news.php?nid=115262,"Fri, 28 Nov 2025 11:24:56 +0530","<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764309296-kalu-ganga-1.jpg"" width=""60"" />The heavy rainfall currently affecting the Kalu Ganga basin, along with data analysis conducted by the Irrigation Department, indicates that a major flood situation is likely to occur within the next few hours. MORE.."
Ada Derana,Leave of all police personnel cancelled due to bad weather,http://www.adaderana.lk/news.php?nid=115261,"Fri, 28 Nov 2025 11:21:49 +0530","<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764309108-police-1.jpg"" width=""60"" />Police Headquarters has announced that all leave and days off for police officers have been cancelled due to the adverse weather conditions affecting the island. MORE.."
Ada Derana,Bus stranded on Kalawewa Bridge- Water rises to waist level of passengers,http://www.adaderana.lk/news.php?nid=115260,"Fri, 28 Nov 2025 10:50:30 +0530","<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764307230-bussss-1.jpg"" width=""60"" />A bus carrying around 70 passengers, which became stranded on the Kalawewa Bridge along the Anuradhapura–Puttalam road, is reportedly facing rising floodwaters, reaching the waist level of passengers onboard. MORE.."
Ada Derana,Sri Lankan tri-forces mobilized for rescue operations across Sri Lanka,http://www.adaderana.lk/news.php?nid=115259,"Fri, 28 Nov 2025 10:49:36 +0530","<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764307939-flood-1.jpg"" width=""60"" />The President has instructed the Army Commander to deploy Sri Lanka Army  (SLA) troops for the rescue and assistance of citizens affected by the prevailing adverse weather conditions across the island. MORE.."
Ada Derana,Minor flood situation reported in Matara District,http://www.adaderana.lk/news.php?nid=115258,"Fri, 28 Nov 2025 10:48:48 +0530","<img align=""left"" hspace=""5"" src=""https://adaderanaenglish.s3.amazonaws.com/1764308217-matara-1.jpg"" width=""60"" />The Matara Disaster Management Unit reports that a minor flood situation has been experienced in the Matara district. MORE.."
Lanka Business Online,Sri Lanka’s Central Bank keeps policy rate unchanged,https://www.lankabusinessonline.com/sri-lankas-central-bank-keeps-policy-rate-unchanged/,"Wed, 26 Nov 2025 09:26:49 +0000","<img alt="""" class=""webfeedsFeaturedVisual wp-post-image"" height=""200"" src=""https://www.lankabusinessonline.com/wp-content/uploads/2018/06/central-bank-of-sri-lanka-lbo-image-300x200.jpg"" style=""display: block; margin-bottom: 5px; clear: both;"" width=""300"" />The Monetary Policy Board, at its meeting held yesterday, decided to maintain the Overnight Policy Rate (OPR) at the current level of 7.75%. The Board arrived at this decision after carefully considering evolving developments and the outlook on both domestic and global fronts. The Board is of the view that the current monetary policy stance [&#8230;]"
Lanka Business Online,Acquisitions of Small Sri Lanka Banks Neutral to BOC’s and PB’s Ratings: Fitch Ratings,https://www.lankabusinessonline.com/acquisitions-of-small-sri-lanka-banks-neutral-to-bocs-and-pbs-ratings-fitch-ratings/,"Wed, 26 Nov 2025 07:44:42 +0000","<img alt=""BOC"" class=""webfeedsFeaturedVisual wp-post-image"" height=""200"" src=""https://www.lankabusinessonline.com/wp-content/uploads/2020/06/BOC.jpg"" style=""display: block; margin-bottom: 5px; clear: both;"" width=""300"" />Fitch Ratings says the proposed transfers of state-owned shares – of Housing Development Finance Corporation Bank of Sri Lanka (HDFC, BB+(lka)/Rating Watch Positive) to Bank of Ceylon (BOC, CCC+/AA-(lka)/Stable) and of State Mortgage &#38; Investment Bank (SMIB, BB(lka)/Rating Watch Positive) to People’s Bank (Sri Lanka) (PB, AA-(lka)/Stable) – are unlikely to affect the acquirers’ ratings. [&#8230;]"
Lanka Business Online,Central Bank keeps Overnight Policy Rate unchanged,https://www.lankabusinessonline.com/central-bank-keeps-overnight-policy-rate-unchanged/,"Wed, 26 Nov 2025 06:36:55 +0000","<img alt="""" class=""webfeedsFeaturedVisual wp-post-image"" height=""200"" src=""https://www.lankabusinessonline.com/wp-content/uploads/2023/03/241355884_4468185043227469_7571034169887141038_n.jpeg"" style=""display: block; margin-bottom: 5px; clear: both;"" width=""300"" />The Monetary Policy Board, at its meeting held yesterday, decided to maintain the Overnight Policy Rate (OPR) at the current level of 7.75%. The Board arrived at this decision after carefully considering evolving developments and the outlook on both domestic and global fronts. The Board is of the view that the current monetary policy stance [&#8230;]"
Lanka Business Online,Sri Lanka’s Export Earnings Exceed USD 14.4 Bn Mark in First Ten Months of 2025,https://www.lankabusinessonline.com/sri-lankas-export-earnings-exceed-usd-14-4-bn-mark-in-first-ten-months-of-2025/,"Tue, 25 Nov 2025 07:56:35 +0000","<img alt=""hanjin-shipping-trade-exports"" class=""webfeedsFeaturedVisual wp-post-image"" height=""200"" src=""https://www.lankabusinessonline.com/wp-content/uploads/2016/09/hanjin-shipping-trade-exports-300x200.jpg"" style=""display: block; margin-bottom: 5px; clear: both;"" width=""300"" />Sri Lanka’s export sector has continued its strong upward trajectory, recording a significant 6.0 % growth during the period from January to October 2025. According to data released by Sri Lanka Customs, along with estimated figures for Gems &#38; Jewellery and Petroleum Products, total exports reached US$ 14,433.82 Mn, surpassing the performance of the corresponding [&#8230;]"
Lanka Business Online,SEC Issues Urgent Scam Alert: Blue Ocean Securities Unlicensed and Unauthorized to Trade,https://www.lankabusinessonline.com/sec-issues-urgent-scam-alert-blue-ocean-securities-unlicensed-and-unauthorized-to-trade/,"Tue, 25 Nov 2025 07:41:08 +0000","<img alt=""stocks-down-lbo"" class=""webfeedsFeaturedVisual wp-post-image"" height=""200"" src=""https://www.lankabusinessonline.com/wp-content/uploads/2015/09/stocks-down-lbo-300x200.png"" style=""display: block; margin-bottom: 5px; clear: both;"" width=""300"" />The Securities and Exchange Commission of Sri Lanka (SEC) has issued an urgent warning to the public, stating that Blue Ocean Securities Ltd is not licensed by the SEC and has no authority to trade in securities in Sri Lanka on behalf of investors. The SEC further revealed that the company’s Chief Analyst and assistant [&#8230;]"
